Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q1KMD3|HNRL2_HUMAN	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	747	false	false	Homo sapiens	Heterogeneous nuclear ribonucleoprotein U-like protein 2	1:Experimental evidence at protein level	43.78	1.0000	0.9990	0.00000000000000	24	24	24	121	121	121	     0	     0	     0	10C(57.0214), 12C(57.0214), 1C(57.0214), 21C(57.0214), 25C(57.0214), 2C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|Q27J81|INF2_HUMAN	Q27J81	INF2_HUMAN	INF2	1249	false	false	Homo sapiens	Inverted formin-2	1:Experimental evidence at protein level	21.54	1.0000	0.9990	0.00000000000000	16	16	16	49	49	49	     0	     0	     0	10C(57.0214), 11C(57.0214), 13C(57.0214), 14C(57.0214), 1C(57.0214), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|Q29RF7|PDS5A_HUMAN	Q29RF7	PDS5A_HUMAN	PDS5A	1337	false	false	Homo sapiens	Sister chromatid cohesion protein PDS5 homolog A	1:Experimental evidence at protein level	34.93	1.0000	0.9990	0.00000000000000	33	29	33	123	110	123	     0	     0	     0	10C(57.0214), 11C(57.0214), 13C(57.0214), 14C(57.0214), 22C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|Q2M389|WASC4_HUMAN	Q2M389	WASC4_HUMAN	WASHC4	1173	false	false	Homo sapiens	WASH complex subunit 4	1:Experimental evidence at protein level	6.73	1.0000	0.9990	0.00000000000000	5	5	5	12	12	12	     0	     0	     0			
sp|Q2NL82|TSR1_HUMAN	Q2NL82	TSR1_HUMAN	TSR1	804	false	false	Homo sapiens	Pre-rRNA-processing protein TSR1 homolog	1:Experimental evidence at protein level	33.96	1.0000	0.9990	0.00000000000000	19	19	19	68	68	68	     0	     0	     0	20C(57.0214), 9C(57.0214)		
sp|Q2TAL8|QRIC1_HUMAN	Q2TAL8	QRIC1_HUMAN	QRICH1	776	false	false	Homo sapiens	Transcriptional regulator QRICH1	1:Experimental evidence at protein level	11.98	1.0000	0.9990	0.00000000000000	5	5	5	21	21	21	     0	     0	     0	N-term(42.0106)		
sp|Q2TAY7|SMU1_HUMAN	Q2TAY7	SMU1_HUMAN	SMU1	513	false	false	Homo sapiens	WD40 repeat-containing protein SMU1	1:Experimental evidence at protein level	37.82	1.0000	0.9990	0.00000000000000	15	15	15	63	63	63	     0	     0	     0	6C(57.0214), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|Q32MZ4|LRRF1_HUMAN	Q32MZ4	LRRF1_HUMAN	LRRFIP1	808	false	false	Homo sapiens	Leucine-rich repeat flightless-interacting protein 1	1:Experimental evidence at protein level	41.21	1.0000	0.9990	0.00000000000000	23	22	23	82	79	82	     0	     0	     0	11C(57.0214), 14C(57.0214), 17C(57.0214), 1C(57.0214), 2C(57.0214)		
sp|Q32P28|P3H1_HUMAN	Q32P28	P3H1_HUMAN	P3H1	736	false	false	Homo sapiens	Prolyl 3-hydroxylase 1	1:Experimental evidence at protein level	27.85	1.0000	0.9990	0.00000000000000	15	15	15	61	61	61	     0	     0	     0	10C(57.0214), 12C(57.0214), 14C(57.0214), 3C(57.0214)		
sp|Q3B726|RPA43_HUMAN	Q3B726	RPA43_HUMAN	POLR1F	338	false	false	Homo sapiens	DNA-directed RNA polymerase I subunit RPA43	1:Experimental evidence at protein level	24.26	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	     0	     0	     0	10C(57.0214), 27C(57.0214), 37C(57.0214), 3C(57.0214), 4C(57.0214), N-term(42.0106)		
sp|Q3LXA3|TKFC_HUMAN	Q3LXA3	TKFC_HUMAN	TKFC	575	false	false	Homo sapiens	Triokinase/FMN cyclase	1:Experimental evidence at protein level	56.17	1.0000	0.9990	0.00000000000000	20	20	20	104	104	104	     0	     0	     0	12C(57.0214), 19C(57.0214), 2C(57.0214), 3C(57.0214), 8C(57.0214)		
sp|Q3MHD2|LSM12_HUMAN	Q3MHD2	LSM12_HUMAN	LSM12	195	false	false	Homo sapiens	Protein LSM12	1:Experimental evidence at protein level	39.49	1.0000	0.9990	0.00000000000000	5	5	5	15	15	15	     0	     0	     0	16C(57.0214), N-term(42.0106)		
sp|Q3YEC7|RABL6_HUMAN	Q3YEC7	RABL6_HUMAN	RABL6	729	false	false	Homo sapiens	Rab-like protein 6	1:Experimental evidence at protein level	7.27	1.0000	0.9990	0.00000000000000	3	3	3	10	10	10	     0	     0	     0	9C(57.0214)		
sp|Q3ZCQ8|TIM50_HUMAN	Q3ZCQ8	TIM50_HUMAN	TIMM50	353	false	false	Homo sapiens	Mitochondrial import inner membrane translocase subunit TIM50	1:Experimental evidence at protein level	32.01	1.0000	0.9990	0.00000000000000	9	9	9	47	47	47	     0	     0	     0			
sp|Q49A26|GLYR1_HUMAN	Q49A26	GLYR1_HUMAN	GLYR1	553	false	false	Homo sapiens	Cytokine-like nuclear factor N-PAC	1:Experimental evidence at protein level	31.65	1.0000	0.9990	0.00000000000000	10	10	10	32	32	32	     0	     0	     0	15C(57.0214), 1C(57.0214), 6C(57.0214), 9C(57.0214)		
sp|Q4G0J3|LARP7_HUMAN	Q4G0J3	LARP7_HUMAN	LARP7	582	false	false	Homo sapiens	La-related protein 7	1:Experimental evidence at protein level	12.37	1.0000	0.9990	0.00000000000000	5	5	5	16	16	16	     0	     0	     0			
sp|Q4G0N4|NAKD2_HUMAN	Q4G0N4	NAKD2_HUMAN	NADK2	442	false	false	Homo sapiens	NAD kinase 2, mitochondrial	1:Experimental evidence at protein level	39.14	1.0000	0.9990	0.00000000000000	12	12	12	33	33	33	     0	     0	     0	6C(57.0214), 7C(57.0214)		
sp|Q4G176|ACSF3_HUMAN	Q4G176	ACSF3_HUMAN	ACSF3	576	false	false	Homo sapiens	Malonate--CoA ligase ACSF3, mitochondrial	1:Experimental evidence at protein level	6.94	1.0000	0.9990	0.00000000000000	3	3	3	5	5	5	     0	     0	     0			
sp|Q4J6C6|PPCEL_HUMAN	Q4J6C6	PPCEL_HUMAN	PREPL	727	false	false	Homo sapiens	Prolyl endopeptidase-like	1:Experimental evidence at protein level	6.60	1.0000	0.9990	0.00000000000000	3	3	3	8	8	8	     0	     0	     0			
sp|Q4KMP7|TB10B_HUMAN	Q4KMP7	TB10B_HUMAN	TBC1D10B	808	false	false	Homo sapiens	TBC1 domain family member 10B	1:Experimental evidence at protein level	7.55	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	     0	     0	     0	2C(57.0214)		
sp|Q4U2R6|RM51_HUMAN	Q4U2R6	RM51_HUMAN	MRPL51	128	false	false	Homo sapiens	Large ribosomal subunit protein mL51	1:Experimental evidence at protein level	21.88	1.0000	0.9990	0.00000000000000	2	2	2	10	10	10	     0	     0	     0			
sp|Q4V328|GRAP1_HUMAN	Q4V328	GRAP1_HUMAN	GRIPAP1	841	false	false	Homo sapiens	GRIP1-associated protein 1	1:Experimental evidence at protein level	17.00	1.0000	0.9990	0.00000000000000	9	9	9	20	20	20	     0	     0	     0	2C(57.0214)		
sp|Q4VC31|MIX23_HUMAN	Q4VC31	MIX23_HUMAN	MIX23	144	false	false	Homo sapiens	Protein MIX23	1:Experimental evidence at protein level	59.03	1.0000	0.9990	0.00000000000000	6	6	6	33	33	33	     0	     0	     0	2C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|Q52LJ0|FA98B_HUMAN	Q52LJ0	FA98B_HUMAN	FAM98B	433	false	false	Homo sapiens	Protein FAM98B	1:Experimental evidence at protein level	37.88	1.0000	0.9990	0.00000000000000	10	9	10	45	44	45	     0	     0	     0	11C(57.0214), 15C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|Q53EL6|PDCD4_HUMAN	Q53EL6	PDCD4_HUMAN	PDCD4	469	false	false	Homo sapiens	Programmed cell death protein 4	1:Experimental evidence at protein level	51.39	1.0000	0.9990	0.00000000000000	18	17	18	61	58	61	     0	     0	     0	14C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|Q53EP0|FND3B_HUMAN	Q53EP0	FND3B_HUMAN	FNDC3B	1204	false	false	Homo sapiens	Fibronectin type III domain-containing protein 3B	1:Experimental evidence at protein level	11.79	1.0000	0.9990	0.00000000000000	8	8	8	12	12	12	     0	     0	     0	10C(57.0214), 12C(57.0214), 1C(57.0214), 2C(57.0214), 3C(57.0214), 9C(57.0214)		
sp|Q53F19|NCBP3_HUMAN	Q53F19	NCBP3_HUMAN	NCBP3	620	false	false	Homo sapiens	Nuclear cap-binding protein subunit 3	1:Experimental evidence at protein level	7.90	1.0000	0.9990	0.00000000000000	4	4	4	11	11	11	     0	     0	     0			
sp|Q53FA7|QORX_HUMAN	Q53FA7	QORX_HUMAN	TP53I3	332	false	false	Homo sapiens	Quinone oxidoreductase PIG3	1:Experimental evidence at protein level	31.02	1.0000	0.9990	0.00000000000000	8	8	8	23	23	23	     0	     0	     0	10C(57.0214), N-term(42.0106)		
sp|Q53FT3|HIKES_HUMAN	Q53FT3	HIKES_HUMAN	HIKESHI	197	false	false	Homo sapiens	Protein Hikeshi	1:Experimental evidence at protein level	33.50	1.0000	0.9990	0.00000000000000	4	4	4	12	12	12	     0	     0	     0	4C(57.0214)		
sp|Q53GQ0|DHB12_HUMAN	Q53GQ0	DHB12_HUMAN	HSD17B12	312	false	false	Homo sapiens	Very-long-chain 3-oxoacyl-CoA reductase	1:Experimental evidence at protein level	34.94	1.0000	0.9990	0.00000000000000	8	8	8	18	18	18	     0	     0	     0	10C(57.0214), 9C(57.0214)		
sp|Q53GS7|GLE1_HUMAN	Q53GS7	GLE1_HUMAN	GLE1	698	false	false	Homo sapiens	mRNA export factor GLE1	1:Experimental evidence at protein level	11.46	1.0000	0.9990	0.00000000000000	5	5	5	11	11	11	     0	     0	     0	1C(57.0214)		
sp|Q53GS9|UBP39_HUMAN	Q53GS9	UBP39_HUMAN	USP39	565	false	false	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 39	1:Experimental evidence at protein level	26.90	1.0000	0.9990	0.00000000000000	11	11	11	43	43	43	     0	     0	     0	2C(57.0214)		
sp|Q53H12|AGK_HUMAN	Q53H12	AGK_HUMAN	AGK	422	false	false	Homo sapiens	Acylglycerol kinase, mitochondrial	1:Experimental evidence at protein level	31.28	1.0000	0.9990	0.00000000000000	9	9	9	24	24	24	     0	     0	     0	10C(57.0214), 2C(57.0214), 7C(57.0214)		
sp|Q53H82|LACB2_HUMAN	Q53H82	LACB2_HUMAN	LACTB2	288	false	false	Homo sapiens	Endoribonuclease LACTB2	1:Experimental evidence at protein level	46.53	1.0000	0.9990	0.00000000000000	11	11	11	30	30	30	     0	     0	     0	10C(57.0214), 16C(57.0214), 4C(57.0214), 9C(57.0214)		
sp|Q53H96|P5CR3_HUMAN	Q53H96	P5CR3_HUMAN	PYCR3	274	false	false	Homo sapiens	Pyrroline-5-carboxylate reductase 3	1:Experimental evidence at protein level	24.09	1.0000	0.9990	0.00000000000000	4	4	4	9	9	9	     0	     0	     0	4C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|Q53HC9|EIPR1_HUMAN	Q53HC9	EIPR1_HUMAN	EIPR1	387	false	false	Homo sapiens	EARP and GARP complex-interacting protein 1	1:Experimental evidence at protein level	14.99	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	     0	     0	     0	11C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|Q562R1|ACTBL_HUMAN	Q562R1	ACTBL_HUMAN	ACTBL2	376	false	false	Homo sapiens	Beta-actin-like protein 2	1:Experimental evidence at protein level	29.79	1.0000	0.9990	0.00000000000000	10	2	2	728	10	10	     0	     0	     0	14M(15.9949)		
sp|Q56VL3|OCAD2_HUMAN	Q56VL3	OCAD2_HUMAN	OCIAD2	154	false	false	Homo sapiens	OCIA domain-containing protein 2	1:Experimental evidence at protein level	18.83	1.0000	0.9990	0.00000000000000	3	3	3	9	9	9	     0	     0	     0	2C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|Q58FF6|H90B4_HUMAN	Q58FF6	H90B4_HUMAN	HSP90AB4P	505	false	false	Homo sapiens	Putative heat shock protein HSP 90-beta 4	5:Protein uncertain	9.11	1.0000	0.9990	0.00000000000000	7	2	2	88	11	11	     0	     0	     0			
sp|Q5BJF2|SGMR2_HUMAN	Q5BJF2	SGMR2_HUMAN	TMEM97	176	false	false	Homo sapiens	Sigma intracellular receptor 2	1:Experimental evidence at protein level	17.05	1.0000	0.9990	0.00000000000000	3	3	3	17	17	17	     0	     0	     0			
sp|Q5BKZ1|ZN326_HUMAN	Q5BKZ1	ZN326_HUMAN	ZNF326	582	false	false	Homo sapiens	DBIRD complex subunit ZNF326	1:Experimental evidence at protein level	24.23	1.0000	0.9990	0.00000000000000	11	11	11	31	31	31	     0	     0	     0	12C(57.0214), 6C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|Q5F1R6|DJC21_HUMAN	Q5F1R6	DJC21_HUMAN	DNAJC21	531	false	false	Homo sapiens	DnaJ homolog subfamily C member 21	1:Experimental evidence at protein level	13.18	1.0000	0.9990	0.00000000000000	4	4	4	12	12	12	     0	     0	     0	14C(57.0214), 17C(57.0214)		
sp|Q5H9R7|PP6R3_HUMAN	Q5H9R7	PP6R3_HUMAN	PPP6R3	873	false	false	Homo sapiens	Serine/threonine-protein phosphatase 6 regulatory subunit 3	1:Experimental evidence at protein level	26.35	1.0000	0.9990	0.00000000000000	16	16	16	55	55	55	     0	     0	     0	12C(57.0214), 22C(57.0214), 23C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|Q5HYI8|RABL3_HUMAN	Q5HYI8	RABL3_HUMAN	RABL3	236	false	false	Homo sapiens	Rab-like protein 3	1:Experimental evidence at protein level	20.76	1.0000	0.9990	0.00000000000000	3	3	3	6	6	6	     0	     0	     0	17C(57.0214)		
sp|Q5JPE7|NOMO2_HUMAN	Q5JPE7	NOMO2_HUMAN	NOMO2	1267	false	false	Homo sapiens	BOS complex subunit NOMO2	1:Experimental evidence at protein level	45.22	1.0000	0.9990	0.00000000000000	35	1	35	171	2	171	     0	     0	     0	18C(57.0214), 19C(57.0214), 25C(57.0214), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|Q5JRA6|TGO1_HUMAN	Q5JRA6	TGO1_HUMAN	MIA3	1907	false	false	Homo sapiens	Transport and Golgi organization protein 1 homolog	1:Experimental evidence at protein level	8.39	1.0000	0.9990	0.00000000000000	11	11	11	23	23	23	     0	     0	     0	10C(57.0214), 19C(57.0214)		
sp|Q5JRX3|PREP_HUMAN	Q5JRX3	PREP_HUMAN	PITRM1	1037	false	false	Homo sapiens	Presequence protease, mitochondrial	1:Experimental evidence at protein level	21.12	1.0000	0.9990	0.00000000000000	13	13	13	32	32	32	     0	     0	     0	1C(57.0214), 20C(57.0214), 6C(57.0214)		
sp|Q5JS54|PSMG4_HUMAN	Q5JS54	PSMG4_HUMAN	PSMG4	123	false	false	Homo sapiens	Proteasome assembly chaperone 4	1:Experimental evidence at protein level	36.59	1.0000	0.9990	0.00000000000000	2	2	2	13	13	13	     0	     0	     0	N-term(42.0106)		
sp|Q5JSH3|WDR44_HUMAN	Q5JSH3	WDR44_HUMAN	WDR44	913	false	false	Homo sapiens	WD repeat-containing protein 44	1:Experimental evidence at protein level	17.31	1.0000	0.9990	0.00000000000000	10	10	10	14	14	14	     0	     0	     0			
sp|Q5JSZ5|PRC2B_HUMAN	Q5JSZ5	PRC2B_HUMAN	PRRC2B	2229	false	false	Homo sapiens	Protein PRRC2B	1:Experimental evidence at protein level	5.61	1.0000	0.9990	0.00000000000000	8	7	7	15	13	13	     0	     0	     0			
sp|Q5JTH9|RRP12_HUMAN	Q5JTH9	RRP12_HUMAN	RRP12	1297	false	false	Homo sapiens	RRP12-like protein	1:Experimental evidence at protein level	38.94	1.0000	0.9990	0.00000000000000	37	37	37	179	179	179	     0	     0	     0	11C(57.0214), 12C(57.0214), 13C(57.0214), 2C(57.0214), 3C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 8M(15.9949), 9C(57.0214)		
sp|Q5JTJ3|COA6_HUMAN	Q5JTJ3	COA6_HUMAN	COA6	125	false	false	Homo sapiens	Cytochrome c oxidase assembly factor 6 homolog	1:Experimental evidence at protein level	32.00	1.0000	0.9990	0.00000000000000	3	3	3	16	16	16	     0	     0	     0	12C(57.0214), 1C(57.0214), 7C(57.0214)		
sp|Q5JTV8|TOIP1_HUMAN	Q5JTV8	TOIP1_HUMAN	TOR1AIP1	583	false	false	Homo sapiens	Torsin-1A-interacting protein 1	1:Experimental evidence at protein level	42.02	1.0000	0.9990	0.00000000000000	17	16	17	67	62	67	     0	     0	     0	1C(57.0214), 2C(57.0214)		
sp|Q5JTZ9|SYAM_HUMAN	Q5JTZ9	SYAM_HUMAN	AARS2	985	false	false	Homo sapiens	Alanine--tRNA ligase, mitochondrial	1:Experimental evidence at protein level	19.29	1.0000	0.9990	0.00000000000000	10	10	10	22	22	22	     0	     0	     0	20C(57.0214), 27C(57.0214), 28C(57.0214)		
sp|Q5JVF3|PCID2_HUMAN	Q5JVF3	PCID2_HUMAN	PCID2	399	false	false	Homo sapiens	PCI domain-containing protein 2	1:Experimental evidence at protein level	23.56	1.0000	0.9990	0.00000000000000	7	7	7	23	23	23	     0	     0	     0	1C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|Q5K4L6|S27A3_HUMAN	Q5K4L6	S27A3_HUMAN	SLC27A3	683	false	false	Homo sapiens	Long-chain fatty acid transport protein 3	1:Experimental evidence at protein level	9.52	1.0000	0.9990	0.00000000000000	3	3	3	8	8	8	     0	     0	     0	16C(57.0214)		
sp|Q5M775|CYTSB_HUMAN	Q5M775	CYTSB_HUMAN	SPECC1	1068	false	false	Homo sapiens	Cytospin-B	1:Experimental evidence at protein level	10.11	1.0000	0.9990	0.00000000000000	6	6	6	21	21	21	     0	     0	     0	14C(57.0214)		
sp|Q5QJE6|TDIF2_HUMAN	Q5QJE6	TDIF2_HUMAN	DNTTIP2	756	false	false	Homo sapiens	Deoxynucleotidyltransferase terminal-interacting protein 2	1:Experimental evidence at protein level	28.31	1.0000	0.9990	0.00000000000000	15	15	15	45	45	45	     0	     0	     0	6C(57.0214)		
sp|Q5R3I4|TTC38_HUMAN	Q5R3I4	TTC38_HUMAN	TTC38	469	false	false	Homo sapiens	Tetratricopeptide repeat protein 38	1:Experimental evidence at protein level	40.09	1.0000	0.9990	0.00000000000000	12	12	12	32	32	32	     0	     0	     0	10C(57.0214), 11C(57.0214), 14C(57.0214), 2C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|Q5RI15|COX20_HUMAN	Q5RI15	COX20_HUMAN	COX20	118	false	false	Homo sapiens	Cytochrome c oxidase assembly protein COX20, mitochondrial	1:Experimental evidence at protein level	32.20	1.0000	0.9990	0.00000000000000	3	3	3	8	8	8	     0	     0	     0	12C(57.0214), N-term(42.0106)		
sp|Q5RKV6|EXOS6_HUMAN	Q5RKV6	EXOS6_HUMAN	EXOSC6	272	false	false	Homo sapiens	Exosome complex component MTR3	1:Experimental evidence at protein level	35.66	1.0000	0.9990	0.00000000000000	6	6	6	13	13	13	     0	     0	     0	6C(57.0214)		
sp|Q5SNT2|TM201_HUMAN	Q5SNT2	TM201_HUMAN	TMEM201	666	false	false	Homo sapiens	Transmembrane protein 201	1:Experimental evidence at protein level	6.31	1.0000	0.9990	0.00000000000000	3	3	3	9	9	9	     0	     0	     0	16C(57.0214), N-term(42.0106)		
sp|Q5SRE5|NU188_HUMAN	Q5SRE5	NU188_HUMAN	NUP188	1749	false	false	Homo sapiens	Nucleoporin NUP188	1:Experimental evidence at protein level	17.61	1.0000	0.9990	0.00000000000000	22	22	22	64	64	64	     0	     0	     0	11C(57.0214), 12C(57.0214), 3C(57.0214), 4C(57.0214), 6C(57.0214)		
sp|Q5SSJ5|HP1B3_HUMAN	Q5SSJ5	HP1B3_HUMAN	HP1BP3	553	false	false	Homo sapiens	Heterochromatin protein 1-binding protein 3	1:Experimental evidence at protein level	39.78	1.0000	0.9990	0.00000000000000	16	16	16	63	63	63	     0	     0	     0	9C(57.0214), N-term(42.0106)		
sp|Q5SW79|CE170_HUMAN	Q5SW79	CE170_HUMAN	CEP170	1584	false	false	Homo sapiens	Centrosomal protein of 170 kDa	1:Experimental evidence at protein level	13.57	1.0000	0.9990	0.00000000000000	13	11	13	24	19	24	     0	     0	     0	N-term(42.0106)		
sp|Q5SWX8|ODR4_HUMAN	Q5SWX8	ODR4_HUMAN	ODR4	454	false	false	Homo sapiens	Protein odr-4 homolog	1:Experimental evidence at protein level	13.88	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	13C(57.0214), 8C(57.0214)		
sp|Q5SY16|NOL9_HUMAN	Q5SY16	NOL9_HUMAN	NOL9	702	false	false	Homo sapiens	Polynucleotide 5'-hydroxyl-kinase NOL9	1:Experimental evidence at protein level	25.21	1.0000	0.9990	0.00000000000000	11	11	11	37	37	37	     0	     0	     0	10C(57.0214), 15C(57.0214), 17C(57.0214), 23C(57.0214), 4C(57.0214)		
sp|Q5T160|SYRM_HUMAN	Q5T160	SYRM_HUMAN	RARS2	578	false	false	Homo sapiens	Probable arginine--tRNA ligase, mitochondrial	1:Experimental evidence at protein level	10.21	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	     0	     0	     0	17C(57.0214)		
sp|Q5T1C6|THEM4_HUMAN	Q5T1C6	THEM4_HUMAN	THEM4	240	false	false	Homo sapiens	Acyl-coenzyme A thioesterase THEM4	1:Experimental evidence at protein level	18.33	1.0000	0.9990	0.00000000000000	4	4	4	8	8	8	     0	     0	     0	2C(57.0214), 5C(57.0214)		
sp|Q5T1M5|FKB15_HUMAN	Q5T1M5	FKB15_HUMAN	FKBP15	1219	false	false	Homo sapiens	FK506-binding protein 15	1:Experimental evidence at protein level	10.83	1.0000	0.9990	0.00000000000000	9	9	9	20	20	20	     0	     0	     0			
sp|Q5T200|ZC3HD_HUMAN	Q5T200	ZC3HD_HUMAN	ZC3H13	1668	false	false	Homo sapiens	Zinc finger CCCH domain-containing protein 13	1:Experimental evidence at protein level	1.92	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	     0	     0	     0	13C(57.0214)		
sp|Q5T3I0|GPTC4_HUMAN	Q5T3I0	GPTC4_HUMAN	GPATCH4	446	false	false	Homo sapiens	G patch domain-containing protein 4	1:Experimental evidence at protein level	28.25	1.0000	0.9990	0.00000000000000	9	9	9	23	23	23	     0	     0	     0	11C(57.0214)		
sp|Q5T4S7|UBR4_HUMAN	Q5T4S7	UBR4_HUMAN	UBR4	5183	false	false	Homo sapiens	E3 ubiquitin-protein ligase UBR4	1:Experimental evidence at protein level	21.94	1.0000	0.9990	0.00000000000000	65	64	65	187	185	187	     0	     0	     0	10C(57.0214), 12C(57.0214), 13C(57.0214), 14C(57.0214), 16C(57.0214), 18C(57.0214), 22C(57.0214), 26C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|Q5T5U3|RHG21_HUMAN	Q5T5U3	RHG21_HUMAN	ARHGAP21	1958	false	false	Homo sapiens	Rho GTPase-activating protein 21	1:Experimental evidence at protein level	1.89	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	     0	     0	     0	6C(57.0214), 8C(57.0214)		
sp|Q5T653|RM02_HUMAN	Q5T653	RM02_HUMAN	MRPL2	305	false	false	Homo sapiens	Large ribosomal subunit protein uL2m	1:Experimental evidence at protein level	23.28	1.0000	0.9990	0.00000000000000	4	4	4	12	12	12	     0	     0	     0	5C(57.0214), 8C(57.0214)		
sp|Q5T6F2|UBAP2_HUMAN	Q5T6F2	UBAP2_HUMAN	UBAP2	1119	false	false	Homo sapiens	Ubiquitin-associated protein 2	1:Experimental evidence at protein level	18.23	1.0000	0.9990	0.00000000000000	11	11	11	26	26	26	     0	     0	     0	20C(57.0214)		
sp|Q5T6V5|QNG1_HUMAN	Q5T6V5	QNG1_HUMAN	QNG1	341	false	false	Homo sapiens	Queuosine 5'-phosphate N-glycosylase/hydrolase	1:Experimental evidence at protein level	23.17	1.0000	0.9990	0.00000000000000	6	6	6	22	22	22	     0	     0	     0	2C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|Q5T8P6|RBM26_HUMAN	Q5T8P6	RBM26_HUMAN	RBM26	1007	false	false	Homo sapiens	RNA-binding protein 26	1:Experimental evidence at protein level	11.02	1.0000	0.9990	0.00000000000000	9	8	9	24	20	24	     0	     0	     0	3C(57.0214), 6C(57.0214)		
sp|Q5T9A4|ATD3B_HUMAN	Q5T9A4	ATD3B_HUMAN	ATAD3B	648	false	false	Homo sapiens	ATPase family AAA domain-containing protein 3B	1:Experimental evidence at protein level	26.54	1.0000	0.9990	0.00000000000000	15	2	3	52	10	11	     0	     0	     0			
sp|Q5TA45|INT11_HUMAN	Q5TA45	INT11_HUMAN	INTS11	600	false	false	Homo sapiens	Integrator complex subunit 11	1:Experimental evidence at protein level	11.67	1.0000	0.9990	0.00000000000000	4	4	4	8	8	8	     0	     0	     0	3C(57.0214)		
sp|Q5TAQ9|DCAF8_HUMAN	Q5TAQ9	DCAF8_HUMAN	DCAF8	597	false	false	Homo sapiens	DDB1- and CUL4-associated factor 8	1:Experimental evidence at protein level	7.04	1.0000	0.9990	0.00000000000000	3	3	3	5	5	5	     0	     0	     0	13C(57.0214)		
sp|Q5TBB1|RNH2B_HUMAN	Q5TBB1	RNH2B_HUMAN	RNASEH2B	312	false	false	Homo sapiens	Ribonuclease H2 subunit B	1:Experimental evidence at protein level	9.62	1.0000	0.9988	0.00000000000000	2	2	2	3	3	3	     0	     0	     0	16C(57.0214)		
sp|Q5TDH0|DDI2_HUMAN	Q5TDH0	DDI2_HUMAN	DDI2	399	false	false	Homo sapiens	Protein DDI1 homolog 2	1:Experimental evidence at protein level	24.06	1.0000	0.9990	0.00000000000000	6	6	6	17	17	17	     0	     0	     0	23C(57.0214)		
sp|Q5TEC6|H37_HUMAN	Q5TEC6	H37_HUMAN	H3-7	136	false	false	Homo sapiens	Histone H3-7	1:Experimental evidence at protein level	38.97	1.0000	0.9990	0.00000000000000	6	2	2	121	12	12	     0	     0	     0	14C(57.0214)		
sp|Q5TFE4|NT5D1_HUMAN	Q5TFE4	NT5D1_HUMAN	NT5DC1	455	false	false	Homo sapiens	5'-nucleotidase domain-containing protein 1	1:Experimental evidence at protein level	46.81	1.0000	0.9990	0.00000000000000	14	14	14	63	63	63	     0	     0	     0	10C(57.0214), 13C(57.0214), 14C(57.0214), 21C(57.0214), 3C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|Q5U5X0|LYRM7_HUMAN	Q5U5X0	LYRM7_HUMAN	LYRM7	104	false	false	Homo sapiens	Complex III assembly factor LYRM7	1:Experimental evidence at protein level	39.42	1.0000	0.9990	0.00000000000000	3	3	3	9	9	9	     0	     0	     0	10C(57.0214)		
